start,duration,confidence
56.53297,0.24105,0.398
56.77401,0.24226,0.566
57.01627,0.24226,0.566
57.25854,0.24850,0.693
57.50704,0.24850,0.693
57.75554,0.24629,0.419
58.00183,0.24629,0.419
58.24812,0.25290,0.533
58.50102,0.25290,0.533
58.75391,0.25333,0.293
59.00724,0.25333,0.293
59.26057,0.25412,0.435
59.51469,0.25412,0.435
59.76880,0.25859,0.455
60.02739,0.25859,0.455
60.28599,0.26024,0.460
60.54622,0.26024,0.460
60.80646,0.25661,0.769
61.06307,0.25661,0.769
61.31968,0.26124,0.483
61.58092,0.26124,0.483
61.84216,0.25699,0.593
62.09915,0.25699,0.593
62.35614,0.26143,0.329
62.61757,0.26143,0.329
62.87900,0.26040,0.699
63.13941,0.26040,0.699
63.39981,0.25988,0.409
63.65968,0.25988,0.409
63.91956,0.25916,0.553
64.17872,0.25916,0.553
64.43789,0.26443,0.323
64.70232,0.26443,0.323
64.96675,0.26403,0.641
65.23078,0.26403,0.641
65.49480,0.26721,0.440
65.76202,0.26721,0.440
66.02923,0.26398,0.451
66.29321,0.26398,0.451
66.55719,0.26242,0.517
66.81961,0.26242,0.517
67.08203,0.26287,0.323
67.34489,0.26287,0.323
67.60776,0.26066,0.593
67.86842,0.26066,0.593
68.12908,0.25343,0.228
68.38251,0.25343,0.228
68.63594,0.25148,0.500
68.88742,0.25148,0.500
69.13890,0.24943,0.121
69.38833,0.24943,0.121
69.63776,0.24917,0.688
69.88693,0.24917,0.688
70.13610,0.25265,0.234
70.38875,0.25265,0.234
70.64140,0.24934,0.584
70.89073,0.24934,0.584
71.14007,0.25668,0.343
71.39675,0.25668,0.343
71.65344,0.25925,0.626
71.91268,0.25925,0.626
72.17193,0.25765,0.441
72.42958,0.25765,0.441
72.68723,0.25638,0.294
72.94361,0.25638,0.294
73.19999,0.25602,0.648
73.45601,0.25602,0.648
73.71203,0.25976,0.096
73.97179,0.25976,0.096
74.23155,0.26347,0.715
74.49502,0.26347,0.715
74.75850,0.25563,0.386
75.01413,0.25563,0.386
75.26975,0.25988,0.308
75.52963,0.25988,0.308
75.78951,0.26187,0.686
76.05138,0.26187,0.686
76.31325,0.25956,0.301
76.57282,0.25956,0.301
76.83238,0.26677,0.447
77.09915,0.26677,0.447
77.36592,0.26120,0.601
77.62712,0.26120,0.601
77.88832,0.25664,0.279
78.14496,0.25664,0.279
78.40160,0.26389,0.264
78.66548,0.26389,0.264
78.92937,0.25647,0.712
79.18584,0.25647,0.712
79.44231,0.25427,0.100
79.69658,0.25427,0.100
79.95085,0.26142,0.413
80.21227,0.26142,0.413
80.47369,0.25634,0.722
80.73004,0.25634,0.722
80.98638,0.25376,0.293
