start,duration,confidence,loudness_start,loudness_max_time,loudness_max,pitches,timbre
10.48376,0.32508,1.000,-32.315,0.02467,-14.498,[0.011 0.021 0.008 0.011 0.044 0.024 0.035 0.009 0.043 1.000 0.024 0.008],[38.754 -18.298 -39.297 57.454 61.956 10.909 -62.259 34.578 12.263 -5.732 16.067 -12.174]}
10.80884,0.16331,0.543,-33.591,0.01756,-26.321,[0.012 0.027 0.012 0.011 0.046 0.012 0.083 0.031 0.174 1.000 0.060 0.012],[30.246 -48.301 15.662 2.164 72.734 -62.689 -56.247 2.198 3.948 -10.609 20.654 -8.399]}
10.97215,0.31850,1.000,-32.850,0.01096,-12.560,[0.033 1.000 0.031 0.014 0.016 0.028 0.036 0.012 0.042 0.057 0.007 0.010],[40.805 3.839 -1.683 80.163 82.554 -61.369 -58.219 10.806 25.015 -21.883 -19.306 -6.826]}
11.29066,0.15605,0.303,-30.248,0.00787,-24.994,[0.041 1.000 0.053 0.011 0.019 0.018 0.023 0.016 0.079 0.442 0.034 0.014],[30.948 -23.049 35.500 25.806 73.528 -64.396 -33.729 -0.824 8.007 -11.221 -7.742 3.756]}
11.44671,0.47152,1.000,-33.748,0.01408,-14.532,[0.016 0.069 0.015 0.014 0.021 0.052 1.000 0.033 0.017 0.048 0.012 0.008],[38.318 -34.772 -53.497 78.957 42.182 -54.305 -65.704 5.331 8.844 -26.250 -21.002 -8.609]}
11.91823,0.32467,1.000,-34.742,0.01521,-12.583,[0.019 0.057 0.014 0.022 0.010 0.014 0.098 0.023 1.000 0.037 0.010 0.005],[41.749 18.980 61.284 86.798 107.352 -40.098 -27.430 11.153 -5.339 -29.953 1.077 11.747]}
12.24290,0.15646,0.048,-28.762,0.01332,-23.811,[0.028 0.099 0.017 0.028 0.025 0.066 0.782 0.083 1.000 0.062 0.017 0.010],[32.821 32.711 60.438 24.996 42.418 -49.446 -44.932 -6.688 -31.243 -21.019 9.848 3.404]}
12.39937,0.31955,1.000,-30.623,0.01035,-15.119,[0.006 0.022 0.006 0.006 0.038 0.014 0.039 0.011 0.030 1.000 0.024 0.008],[39.497 -20.153 -38.734 50.676 62.437 -48.947 -78.093 12.484 17.132 -22.697 -26.550 -9.492]}
12.71891,0.15152,0.138,-31.441,0.00759,-27.299,[0.025 0.090 0.021 0.017 0.156 0.034 0.187 0.077 0.513 1.000 0.139 0.026],[29.209 -15.447 32.076 16.226 61.140 -67.309 -16.420 0.922 9.944 -14.644 -3.093 4.804]}
12.87043,0.46989,1.000,-35.378,0.01347,-11.975,[0.060 1.000 0.047 0.023 0.018 0.026 0.059 0.020 0.080 0.168 0.027 0.020],[40.218 2.913 5.616 106.047 72.342 -66.116 -58.054 4.758 23.581 -23.335 -16.793 1.618]}
