start,duration,confidence
220.06684,0.47567,0.316
220.54251,0.47523,0.313
221.01774,0.47607,0.265
221.49381,0.47606,0.221
221.96987,0.47647,0.260
222.44634,0.47817,0.301
222.92451,0.47646,0.309
223.40096,0.47985,0.299
223.88081,0.47942,0.207
224.36023,0.47644,0.189
224.83667,0.47686,0.162
225.31353,0.47643,0.201
225.78996,0.47514,0.235
226.26510,0.47556,0.267
226.74065,0.47385,0.300
227.21450,0.47553,0.401
227.69003,0.47850,0.358
228.16853,0.47721,0.382
228.64574,0.47635,0.311
229.12209,0.47676,0.307
229.59885,0.47633,0.230
230.07518,0.47675,0.255
230.55193,0.47674,0.300
231.02868,0.47631,0.367
231.50499,0.47759,0.298
231.98258,0.47716,0.295
232.45973,0.47759,0.252
232.93732,0.47801,0.287
233.41534,0.47631,0.274
233.89165,0.47461,0.283
234.36626,0.47461,0.301
234.84087,0.47290,0.384
235.31376,0.47544,0.371
235.78921,0.47331,0.382
236.26251,0.47543,0.326
236.73794,0.47584,0.314
237.21378,0.47711,0.275
237.69090,0.47541,0.299
238.16630,0.47753,0.318
238.64383,0.47582,0.430
239.11966,0.47710,0.372
239.59675,0.47709,0.339
240.07385,0.47709,0.244
240.55094,0.47666,0.273
241.02760,0.47709,0.231
241.50469,0.47794,0.268
241.98263,0.47667,0.309
242.45930,0.47752,0.356
242.93682,0.47412,0.290
243.41093,0.47625,0.297
243.88718,0.47625,0.249
244.36342,0.47710,0.275
244.84052,0.47497,0.253
245.31549,0.47709,0.281
245.79259,0.47412,0.295
246.26670,0.47752,0.350
246.74422,0.47624,0.332
247.22046,0.47412,0.347
247.69458,0.47582,0.308
248.17040,0.47539,0.304
248.64579,0.47497,0.253
249.12076,0.47582,0.294
249.59658,0.47582,0.312
250.07240,0.47582,0.402
250.54823,0.47837,0.371
251.02660,0.47795,0.395
251.50455,0.47710,0.324
251.98165,0.47667,0.314
252.45832,0.47710,0.266
252.93542,0.47497,0.303
253.41039,0.47455,0.308
253.88494,0.47497,0.362
254.35991,0.47497,0.305
254.83489,0.47582,0.277
255.31071,0.47667,0.248
255.78738,0.47753,0.259
256.26490,0.47838,0.292
256.74328,0.47795,0.260
257.22123,0.47838,0.295
257.69961,0.47796,0.333
258.17757,0.47753,0.373
258.65511,0.47541,0.394
259.13052,0.47541,0.364
259.60593,0.47499,0.352
260.08091,0.47626,0.320
260.55717,0.47414,0.335
261.03131,0.47329,0.392
261.50460,0.47499,0.456
261.97959,0.47669,0.456
262.45627,0.47626,0.452
262.93254,0.47711,0.402
263.40965,0.47626,0.400
263.88592,0.47584,0.347
264.36175,0.47797,0.335
264.83972,0.47669,0.404
265.31641,0.47542,0.404
265.79183,0.47627,0.370
266.26811,0.47628,0.327
266.74439,0.47671,0.295
267.22110,0.47799,0.299
267.69908,0.47543,0.354
268.17451,0.47671,0.317
268.65122,0.47798,0.332
269.12920,0.47798,0.344
269.60718,0.47755,0.345
270.08473,0.47500,0.383
270.55973,0.47457,0.344
271.03430,0.47626,0.344
271.51056,0.47413,0.359
271.98469,0.47498,0.376
272.45968,0.47498,0.437
272.93466,0.47541,0.453
273.41007,0.47711,0.429
273.88718,0.47754,0.382
274.36472,0.47669,0.340
274.84141,0.47797,0.327
275.31938,0.47541,0.326
275.79479,0.47499,0.331
276.26978,0.47541,0.355
276.74519,0.47541,0.351
277.22060,0.47584,0.332
277.69644,0.47754,0.322
278.17399,0.47797,0.285
278.65196,0.47840,0.290
279.13036,0.47798,0.298
279.60834,0.47543,0.273
280.08378,0.47586,0.296
280.55964,0.47629,0.343
281.03593,0.47629,0.319
281.51222,0.47374,0.343
281.98596,0.47459,0.314
282.46055,0.47417,0.301
282.93472,0.47544,0.313
283.41016,0.47672,0.341
283.88687,0.47586,0.384
284.36273,0.47544,0.409
284.83817,0.47799,0.324
285.31616,0.47799,0.298
285.79414,0.47799,0.234
286.27213,0.47713,0.249
286.74926,0.47544,0.251
287.22469,0.47672,0.269
287.70141,0.47587,0.289
288.17728,0.47587,0.304
288.65315,0.47587,0.277
289.12902,0.47630,0.242
289.60532,0.47843,0.220
290.08374,0.47800,0.196
290.56174,0.47587,0.214
291.03761,0.47672,0.186
291.51433,0.47714,0.201
291.99147,0.47799,0.227
292.46946,0.47629,0.254
292.94575,0.47374,0.259
293.41949,0.47544,0.209
293.89493,0.47629,0.205
294.37122,0.47586,0.193
294.84708,0.47373,0.256
295.32081,0.47330,0.278
295.79410,0.47584,0.365
296.26995,0.47584,0.348
296.74579,0.47583,0.365
297.22162,0.47583,0.296
297.69745,0.47625,0.267
298.17370,0.47624,0.224
298.64994,0.47836,0.280
299.12830,0.47666,0.295
299.60496,0.47708,0.341
300.08204,0.47580,0.276
300.55785,0.47707,0.280
301.03492,0.47664,0.258
301.51156,0.47664,0.281
301.98820,0.47493,0.289
302.46314,0.47493,0.298
302.93806,0.47577,0.251
303.41383,0.47577,0.311
303.88960,0.47576,0.302
304.36536,0.47321,0.289
304.83857,0.47575,0.229
305.31432,0.47490,0.256
305.78923,0.47618,0.282
306.26541,0.47661,0.313
306.74202,0.47662,0.359
307.21864,0.47535,0.409
307.69399,0.47833,0.359
308.17232,0.47748,0.351
308.64980,0.47663,0.255
309.12644,0.47621,0.251
309.60264,0.47535,0.178
310.07800,0.47790,0.252
310.55590,0.47833,0.274
311.03423,0.47620,0.336
311.51043,0.47493,0.298
311.98536,0.47705,0.291
312.46241,0.47620,0.232
312.93862,0.47748,0.230
313.41610,0.47450,0.240
313.89060,0.47365,0.232
314.36425,0.47408,0.207
314.83833,0.47492,0.285
315.31325,0.47450,0.280
315.78775,0.47534,0.294
316.26309,0.47534,0.271
316.73843,0.47619,0.257
317.21461,0.47661,0.244
317.69122,0.47618,0.312
318.16741,0.47788,0.294
318.64528,0.47617,0.351
319.12146,0.47787,0.269
319.59933,0.47744,0.249
320.07677,0.47659,0.173
320.55336,0.47616,0.225
321.02952,0.47616,0.208
321.50568,0.47573,0.278
321.98141,0.47743,0.258
322.45884,0.47403,0.304
322.93286,0.47700,0.271
323.40986,0.47657,0.265
323.88643,0.47699,0.232
324.36342,0.47954,0.219
324.84296,0.47784,0.175
325.32080,0.47486,0.204
325.79566,0.47613,0.206
326.27179,0.47145,0.245
326.74324,0.47230,0.272
327.21554,0.47400,0.223
327.68954,0.47399,0.132
328.16353,0.47484,0.109
328.63837,0.47782,0.055
329.11619,0.47867,0.113
329.59486,0.47909,0.101
330.07395,0.47909,0.141
330.55305,0.47739,0.172
331.03044,0.47527,0.227
331.50570,0.47612,0.160
331.98182,0.47611,0.183
332.45793,0.47526,0.116
332.93319,0.47738,0.168
333.41057,0.47908,0.134
333.88965,0.47908,0.186
334.36872,0.47908,0.195
334.84780,0.47653,0.225
335.32433,0.47611,0.142
335.80044,0.47740,0.128
336.27784,0.47698,0.096
336.75482,0.47571,0.132
337.23053,0.47401,0.151
337.70454,0.47529,0.203
338.17983,0.47657,0.230
338.65640,0.47615,0.202
339.13255,0.47700,0.141
339.60956,0.47658,0.122
340.08614,0.47446,0.143
340.56060,0.47489,0.204
341.03549,0.47361,0.179
341.50910,0.47574,0.202
341.98484,0.47574,0.149
342.46057,0.47361,0.161
342.93419,0.47361,0.188
343.40780,0.47531,0.174
343.88311,0.47659,0.192
344.35970,0.47744,0.254
344.83714,0.47532,0.267
345.31246,0.47489,0.344
345.78735,0.47702,0.306
346.26438,0.47703,0.297
346.74140,0.47788,0.229
347.21928,0.47916,0.244
347.69845,0.47832,0.186
348.17676,0.47917,0.239
348.65593,0.47960,0.240
349.13553,0.47748,0.295
349.61301,0.47748,0.253
350.09049,0.47706,0.263
350.56755,0.47622,0.245
351.04377,0.47750,0.258
351.52127,0.47496,0.278
351.99622,0.47412,0.317
352.47034,0.47328,0.287
352.94363,0.47373,0.279
353.41735,0.47374,0.292
353.89109,0.47334,0.279
354.36443,0.47379,0.237
354.83823,0.47551,0.251
355.31374,0.47723,0.216
355.79097,0.47597,0.265
356.26693,0.47810,0.292
356.74503,0.47769,0.347
357.22272,0.47854,0.287
357.70126,0.47726,0.244
358.17852,0.47726,0.181
358.65578,0.47471,0.234
359.13048,0.47726,0.185
359.60774,0.47683,0.263
360.08457,0.47598,0.259
360.56055,0.47597,0.287
361.03652,0.47639,0.229
361.51292,0.47681,0.238
361.98973,0.47765,0.207
362.46739,0.47722,0.243
362.94461,0.47466,0.238
363.41927,0.47423,0.225
363.89350,0.47252,0.240
364.36602,0.47379,0.283
364.83981,0.47378,0.261
365.31359,0.47463,0.270
365.78822,0.47548,0.246
366.26370,0.47463,0.250
366.73833,0.47548,0.266
367.21381,0.47718,0.280
367.69099,0.47676,0.292
368.16775,0.47548,0.348
368.64323,0.47719,0.297
369.12042,0.47634,0.269
369.59676,0.47804,0.206
370.07480,0.47847,0.181
370.55327,0.47634,0.144
371.02961,0.47678,0.233
371.50639,0.47848,0.238
371.98487,0.47552,0.290
372.46039,0.47638,0.251
372.93677,0.47681,0.263
373.41358,0.47682,0.228
373.89040,0.47811,0.257
374.36851,0.47727,0.234
374.84578,0.47557,0.273
375.32135,0.47557,0.263
375.79693,0.47685,0.273
376.27378,0.47601,0.259
376.74979,0.47644,0.249
377.22624,0.47474,0.205
377.70098,0.47560,0.213
378.17658,0.47689,0.197
378.65347,0.47817,0.267
379.13164,0.47776,0.248
379.60940,0.47777,0.280
380.08718,0.47736,0.279
380.56454,0.47696,0.273
381.04150,0.47527,0.225
381.51677,0.47316,0.289
381.98993,0.47445,0.234
382.46439,0.47362,0.261
382.93800,0.47534,0.241
383.41334,0.47662,0.259
383.88996,0.47705,0.277
384.36702,0.47791,0.332
384.84493,0.47920,0.259
385.32413,0.47664,0.234
385.80077,0.47792,0.206
386.27869,0.47579,0.242
386.75448,0.47536,0.249
387.22984,0.48047,0.274
387.71031,0.47876,0.274
388.18907,0.47707,0.264
388.66614,0.47663,0.214
389.14277,0.47662,0.185
389.61939,0.47491,0.186
390.09431,0.47235,0.223
390.56665,0.46722,0.271
391.03388,0.46848,0.323
391.50236,0.47271,0.265
391.97507,0.47184,0.223
392.44691,0.47267,0.179
392.91957,0.47476,0.127
393.39433,0.47431,0.117
393.86864,0.47555,0.127
394.34419,0.47806,0.159
394.82225,0.47591,0.225
395.29815,0.47886,0.213
395.77701,0.47544,0.149
396.25245,0.47586,0.197
396.72831,0.47671,0.220
397.20502,0.47927,0.178
397.68429,0.47632,0.152
398.16061,0.47379,0.137
398.63440,0.47470,0.130
399.10910,0.47475,0.130
399.58385,0.47486,0.125
400.05870,0.47666,0.113
400.53536,0.47598,0.108
401.01134,0.47443,0.142
401.48578,0.47672,0.135
401.96250,0.47692,0.181
402.43942,0.47839,0.152
402.91782,0.47690,0.103
403.39472,0.47755,0.103
403.87227,0.47689,0.208
404.34916,0.48178,0.251
404.83094,0.48500,0.222
405.31594,0.48516,0.180
405.80110,0.48707,0.215
406.28818,0.49149,0.231
406.77966,0.49206,0.213
407.27173,0.49773,0.220
407.76946,0.49872,0.174
408.26818,0.50052,0.197
408.76871,0.50325,0.128
409.27195,0.50764,0.144
409.77960,0.51088,0.163
410.29048,0.51624,0.173
410.80671,0.51410,0.157
411.32081,0.51579,0.165
411.83660,0.50533,0.150
412.34192,0.50864,0.118
412.85057,0.50622,0.143
413.35679,0.49493,0.159
413.85171,0.49341,0.086
414.34512,0.48492,0.193
414.83005,0.48941,0.091
415.31946,0.50519,0.166
415.82465,0.49443,0.149
416.31908,0.50182,0.131
416.82090,0.51887,0.191
417.33977,0.52584,0.165
417.86561,0.54256,0.201
418.40817,0.54531,0.178
418.95348,0.54807,0.197
419.50155,0.54968,0.129
420.05123,0.55109,0.155
420.60231,0.53677,0.239
421.13909,0.53714,0.145
421.67623,0.53659,0.183
422.21282,0.52788,0.162
422.74069,0.51484,0.151
423.25553,0.52897,0.105
423.78450,0.51401,0.121
424.29850,0.51569,0.183
424.81419,0.50257,0.141
425.31675,0.48853,0.095
425.80529,0.48236,0.117
426.28765,0.48651,0.272
426.77416,0.47153,0.138
427.24569,0.47821,0.122
427.72389,0.47820,0.168
428.20209,0.47819,0.146
428.68029,0.48261,0.126
429.16290,0.48658,0.135
429.64947,0.48435,0.160
430.13383,0.48880,0.245
430.62263,0.48634,0.183
431.10897,0.49139,0.256
431.60036,0.49527,0.225
432.09563,0.49657,0.293
432.59219,0.49895,0.256
433.09114,0.50285,0.179
433.59399,0.50735,0.203
434.10135,0.51144,0.255
434.61278,0.51151,0.276
435.12430,0.51453,0.297
435.63882,0.50698,0.214
436.14581,0.49749,0.134
436.64329,0.48684,0.195
437.13013,0.48131,0.186
437.61144,0.48206,0.115
438.09350,0.48680,0.117
438.58030,0.48216,0.136
439.06246,0.48630,0.180
439.54876,0.49518,0.239
440.04394,0.51061,0.253
440.55455,0.50566,0.148
441.06021,0.50474,0.217
441.56494,0.49857,0.252
442.06352,0.49328,0.260
442.55679,0.48980,0.219
443.04659,0.49099,0.384
443.53758,0.48292,0.194
444.02050,0.48590,0.148
444.50640,0.47774,0.172
444.98414,0.48389,0.320
445.46803,0.49782,0.149
445.96585,0.50357,0.205
446.46942,0.50632,0.218
446.97574,0.51163,0.235
447.48737,0.52390,0.159
448.01127,0.53744,0.229
448.54871,0.53305,0.452
449.08177,0.53402,0.219
449.61579,0.52968,0.259
450.14547,0.53393,0.356
450.67940,0.52856,0.181
451.20796,0.52897,0.256
451.73694,0.51476,0.126
452.25169,0.51039,0.475
452.76208,0.51059,0.233
453.27267,0.50963,0.223
453.78229,0.49506,0.299
454.27735,0.49878,0.208
454.77613,0.49910,0.193
455.27523,0.49984,0.255
455.77507,0.49667,0.264
456.27174,0.48301,0.167
456.75475,0.48375,0.219
457.23850,0.48487,0.279
457.72337,0.47684,0.330
458.20021,0.46265,0.399
458.66286,0.46343,0.355
459.12629,0.46492,0.562
459.59121,0.46518,0.390
460.05639,0.46750,0.436
460.52389,0.46879,0.395
460.99269,0.47146,0.374
461.46415,0.47517,0.403
461.93931,0.47810,0.501
462.41742,0.48030,0.509
462.89772,0.48466,0.585
463.38238,0.48575,0.525
463.86812,0.48927,0.634
464.35740,0.49188,0.624
464.84927,0.49485,0.518
465.34412,0.49830,0.455
465.84242,0.50062,0.566
466.34305,0.50437,0.637
